Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
Seipin	fbgn0040336	SERCA	fbgn0263006	enhanceable
hid	fbgn0003997	Drice	fbgn0019972	suppressible
Pten	fbgn0026379	Akt1	fbgn0010379	suppressible
vg	fbgn0003975	wg	fbgn0284084	suppressible
SNF4A?	fbgn0264357	Appl	fbgn0000108	enhanceable
Pvr	fbgn0032006	mbc	fbgn0015513	suppressible
vtd	fbgn0260987	Nipped-B	fbgn0026401	enhanceable
if	fbgn0001250	EcR	fbgn0000546	enhanceable
Rab23	fbgn0037364	Vang	fbgn0015838	enhanceable
sax	fbgn0003317	fuss	fbgn0039932	suppressible
Psn	fbgn0284421	cher	fbgn0014141	suppressible
Raf	fbgn0003079	S6kII	fbgn0262866	suppressible
ph-p	fbgn0004861	ph-d	fbgn0004860	suppressible
Psc|Su(z)2	fbgn0005624|fbgn0265623	dpp	fbgn0000490	suppressible
hh	fbgn0004644	ptc	fbgn0003892	enhanceable
p53	fbgn0039044	Surf1	fbgn0029117	suppressible
lok	fbgn0019686	mei-41	fbgn0004367	enhanceable
Rbf	fbgn0015799	Pabp2	fbgn0005648	enhanceable
rpr	fbgn0011706	?4GT1	fbgn0031491	enhanceable
Ras85D	fbgn0003205	mask	fbgn0043884	enhanceable
Girdin	fbgn0283724	Akt1	fbgn0010379	enhanceable
ctp	fbgn0011760	DCTN1-p150	fbgn0001108	enhanceable
Ret	fbgn0011829	msn	fbgn0010909	enhanceable
Fmr1	fbgn0028734	pAbp	fbgn0265297	suppressible
shg	fbgn0003391	sgg	fbgn0003371	suppressible
Ras85D	fbgn0003205	Sec15	fbgn0266674	suppressible
Brca2	fbgn0050169	aurA	fbgn0000147	enhanceable
sgg	fbgn0003371	aPKC|arm	fbgn0261854|fbgn0000117	enhanceable
N	fbgn0004647	lola	fbgn0283521	enhanceable
br	fbgn0283451	Rho1	fbgn0014020	enhanceable
tna	fbgn0026160	kis	fbgn0266557	enhanceable
ato	fbgn0010433	smt3	fbgn0264922	enhanceable
trk	fbgn0003751	Ptth	fbgn0013323	suppressible
Ret	fbgn0011829	bsk	fbgn0000229	suppressible
HDAC1|ttk	fbgn0015805|fbgn0003870	Mi-2	fbgn0262519	enhanceable
Pink1	fbgn0029891	park	fbgn0041100	suppressible
sub	fbgn0003545	Ran	fbgn0020255	suppressible
Su(H)	fbgn0004837	H	fbgn0001169	suppressible
vvl	fbgn0086680	D	fbgn0000411	enhanceable
N	fbgn0004647	fred	fbgn0051774	suppressible
Rnf146	fbgn0036897	Stat92E	fbgn0016917	suppressible
Sh	fbgn0003380	mle	fbgn0002774	suppressible
Ras85D|scrib	fbgn0003205|fbgn0263289	kay	fbgn0001297	suppressible
Rac1	fbgn0010333	shg	fbgn0003391	suppressible
dbo	fbgn0040230	Pak	fbgn0267698	suppressible
cact	fbgn0000250	cact::Hsap\NFKBIA	fbgn0045861	suppressible
bsk	fbgn0000229	park	fbgn0041100	enhanceable
Nf1	fbgn0015269	Rab9	fbgn0032782	suppressible
Strip	fbgn0035437	spri	fbgn0085443	enhanceable
Dronc	fbgn0026404	Strica	fbgn0033051	enhanceable
Mhc	fbgn0264695	stck	fbgn0020249	suppressible
rumi	fbgn0086253	N	fbgn0004647	suppressible
Kr	fbgn0001325	bun	fbgn0259176	suppressible
Dronc	fbgn0026404	Usp1	fbgn0028476	enhanceable
Khc::Ggal\MLCK|robo1	fbgn0016674|fbgn0005631	Sos	fbgn0001965	suppressible
fz	fbgn0001085	fw	fbgn0001083	suppressible
hpo	fbgn0261456	Dronc	fbgn0026404	suppressible
sli	fbgn0264089	vg	fbgn0003975	enhanceable
Pros?5	fbgn0029134	hts	fbgn0263391	suppressible
piwi	fbgn0004872	ova	fbgn0032197	suppressible
Dronc	fbgn0026404	Dark	fbgn0263864	suppressible
ey	fbgn0005558	ato::da	fbgn0281846	suppressible
N	fbgn0004647	E(spl)m8-HLH	fbgn0000591	enhanceable
moi	fbgn0261019	mei-41	fbgn0004367	suppressible
pk	fbgn0003090	Khc	fbgn0001308	suppressible
hep	fbgn0010303	kay	fbgn0001297	suppressible
cato	fbgn0024249	CycA	fbgn0000404	suppressible
N	fbgn0004647	arm	fbgn0000117	enhanceable
bchs	fbgn0043362	Gga	fbgn0030141	enhanceable
ex	fbgn0004583	wts	fbgn0011739	enhanceable
cher	fbgn0014141	Sema1a	fbgn0011259	enhanceable
Apc	fbgn0015589	ewg	fbgn0005427	suppressible
Dys	fbgn0260003	wg	fbgn0284084	suppressible
Kr	fbgn0001325	l(3)neo47	fbgn0011480	suppressible
zip	fbgn0265434	Mbs	fbgn0005536	suppressible
Apc2|Apc	fbgn0026598|fbgn0015589	pan	fbgn0085432	suppressible
Raf::tor	fbgn0013724	Sps1	fbgn0261270	suppressible
Ras85D	fbgn0003205	Pten	fbgn0026379	suppressible
Dcp-1	fbgn0010501	Uba1	fbgn0023143	enhanceable
mop	fbgn0036448	ex	fbgn0004583	suppressible
hh	fbgn0004644	gpp	fbgn0264495	suppressible
lola|psq|Dl	fbgn0283521|fbgn0263102|fbgn0000463	bsk	fbgn0000229	enhanceable
ct	fbgn0004198	su(Hw)	fbgn0003567	suppressible
tkv	fbgn0003716	p38b	fbgn0024846	suppressible
mei-S332	fbgn0002715	polo	fbgn0003124	suppressible
B-H1	fbgn0011758	Sos	fbgn0001965	enhanceable
Syx7	fbgn0267849	puc	fbgn0243512	suppressible
esc	fbgn0000588	htt	fbgn0027655	enhanceable
mwh	fbgn0264272	Rho1	fbgn0014020	suppressible
Egfr	fbgn0003731	cora	fbgn0010434	suppressible
fz	fbgn0001085	ed	fbgn0000547	enhanceable
Dl	fbgn0000463	E(Dl)KP254	fbgn0010031	enhanceable
ksr::tor	fbgn0019804	EK2-7	fbgn0043589	enhanceable
peb	fbgn0003053	unch	fbgn0015559	suppressible
Egfr	fbgn0003731	ovo	fbgn0003028	suppressible
scrib	fbgn0263289	hep	fbgn0010303	suppressible
grim	fbgn0015946	Diap2	fbgn0015247	suppressible
btl::Egfr	fbgn0022739	if	fbgn0001250	suppressible
upd3	fbgn0053542	Madm	fbgn0027497	suppressible
mir-bft	fbgn0263107	ppk16	fbgn0065108	suppressible
N	fbgn0004647	su(N)	fbgn0027102	suppressible
tkv	fbgn0003716	bam	fbgn0000158	suppressible
SH3PX1	fbgn0040475	pnt	fbgn0003118	suppressible
Acn	fbgn0263198	Atg5	fbgn0029943	suppressible
E(z)	fbgn0000629	Psc	fbgn0005624	suppressible
svp	fbgn0003651	Egfr	fbgn0003731	suppressible
Scr	fbgn0003339	tna	fbgn0026160	suppressible
dpp	fbgn0000490	hep	fbgn0010303	enhanceable
Rtnl1	fbgn0053113	Drp1	fbgn0026479	suppressible
btl::Egfr	fbgn0022739	EP2204	fbgn0083240	suppressible
Pi3K92E	fbgn0015279	RpS21	fbgn0015521	enhanceable
dom	fbgn0020306	CG8289	fbgn0030854	enhanceable
tefu	fbgn0045035	wrd	fbgn0042693	enhanceable
E(z)	fbgn0000629	Trl	fbgn0013263	suppressible
sei	fbgn0003353	dnc	fbgn0000479	suppressible
H	fbgn0001169	mam	fbgn0002643	suppressible
Pc	fbgn0003042	Trl	fbgn0013263	enhanceable
tor	fbgn0003733	Su(tor)2-56	fbgn0014059	suppressible
park	fbgn0041100	AMPK?	fbgn0023169	suppressible
Sas-4	fbgn0011020	BubR1	fbgn0263855	suppressible
scrib	fbgn0263289	kay	fbgn0001297	enhanceable
N	fbgn0004647	E(Egfr)C22	fbgn0023222	suppressible
Ras85D	fbgn0003205	MESR6	fbgn0036846	suppressible
dpp	fbgn0000490	B	fbgn0000154	enhanceable
N	fbgn0004647	E(spl)m8-HLH	fbgn0000591	enhanceable
rho-7	fbgn0033672	Pink1	fbgn0029891	suppressible
tum	fbgn0086356	CycE	fbgn0010382	suppressible
wg	fbgn0284084	pan	fbgn0085432	enhanceable
?Tub67C	fbgn0087040	swa	fbgn0003655	suppressible
y	fbgn0004034	mod(mdg4)	fbgn0002781	enhanceable
Ras85D	fbgn0003205	bsk	fbgn0000229	suppressible
Ret	fbgn0011829	l(3)S023549	fbgn0028189	enhanceable
faf	fbgn0005632	14-3-3?	fbgn0004907	suppressible
dgo	fbgn0086898	CG15283	fbgn0028844	enhanceable
CG12344	fbgn0033558	SecCl|Grd	fbgn0036727|fbgn0001134	enhanceable
Uba1	fbgn0023143	Ras85D	fbgn0003205	suppressible
DCTN1-p150	fbgn0001108	Dhc64C	fbgn0261797	enhanceable
Hs3st-B	fbgn0031005	dx	fbgn0000524	enhanceable
ovo	fbgn0003028	ovo::Bole\ovo	fbgn0067670	suppressible
Diap1	fbgn0260635	Dronc	fbgn0026404	suppressible
Pc|ph-p	fbgn0003042|fbgn0004861	Su(Pc)35CD	fbgn0013934	suppressible
S	fbgn0003310	pnut	fbgn0013726	enhanceable
Vang	fbgn0015838	fz	fbgn0001085	suppressible
w	fbgn0003996	E(w<up>a</up>)	fbgn0000607	enhanceable
PGRP-LE	fbgn0030695	Tak1	fbgn0026323	suppressible
Raf::tor	fbgn0013724	phyl	fbgn0013725	suppressible
ex	fbgn0004583	Schip1	fbgn0032221	suppressible
Dp|E2f1	fbgn0011763|fbgn0011766	E(E2f)2B	fbgn0028747	enhanceable
Pcl	fbgn0003044	rept	fbgn0040075	enhanceable
sicily	fbgn0030352	Sln	fbgn0033657	suppressible
fh	fbgn0030092	Fer3HCH	fbgn0030449	suppressible
CycE	fbgn0010382	Snr1	fbgn0011715	suppressible
cindr	fbgn0027598	Rho1	fbgn0014020	enhanceable
shg	fbgn0003391	CadN	fbgn0015609	enhanceable
dsh	fbgn0000499	Jra	fbgn0001291	suppressible
rl	fbgn0003256	pum	fbgn0003165	enhanceable
tal	fbgn0087003	phyl	fbgn0013725	enhanceable
gcm	fbgn0014179	pim	fbgn0003087	suppressible
tmod	fbgn0082582	sals	fbgn0051374	enhanceable
Smox	fbgn0025800	rpk	fbgn0022981	suppressible
Smox	fbgn0025800	bun	fbgn0259176	suppressible
hng1	fbgn0034599	jing	fbgn0086655	suppressible
E(z)	fbgn0000629	Snr1	fbgn0011715	enhanceable
gbb	fbgn0024234	sog	fbgn0003463	suppressible
Lrrk	fbgn0038816	Thor	fbgn0261560	suppressible
Imp	fbgn0285926	sna	fbgn0003448	enhanceable
meigo	fbgn0250820	Hsc70-3	fbgn0001218	enhanceable
gsb	fbgn0001148	ey	fbgn0005558	suppressible
faf|lqf	fbgn0005632|fbgn0028582	eff	fbgn0011217	suppressible
baz	fbgn0000163	meru	fbgn0052150	enhanceable
ms(3)K81	fbgn0002838	HipHop::ms(3)K81	fbgn0263204	suppressible
Strip	fbgn0035437	Rab5	fbgn0014010	suppressible
puc	fbgn0243512	Traf6	fbgn0265464	suppressible
ref(2)P	fbgn0003231	Su(P)	fbgn0004465	suppressible
Traf4	fbgn0026319	hep	fbgn0010303	suppressible
dar1	fbgn0263239	nudE	fbgn0036059	suppressible
jeb	fbgn0086677	cnk	fbgn0286070	suppressible
Hipk	fbgn0035142	bsk|yki	fbgn0000229|fbgn0034970	suppressible
wts	fbgn0011739	Tgi	fbgn0036373	suppressible
pic	fbgn0260962	mahj	fbgn0034641	enhanceable
ct	fbgn0004198	CR43670	fbgn0263745	suppressible
Mt2	fbgn0028707	htt	fbgn0027655	enhanceable
CycE	fbgn0010382	rux	fbgn0003302	enhanceable
Rbf	fbgn0015799	lola	fbgn0283521	enhanceable
Lfg	fbgn0025692	Buffy	fbgn0040491	suppressible
Egfr	fbgn0003731	Jra	fbgn0001291	suppressible
robo1|sli	fbgn0005631|fbgn0264089	ena	fbgn0000578	suppressible
arm	fbgn0000117	?-Cat::shg	fbgn0266997	suppressible
clu	fbgn0034087	Pink1	fbgn0029891	enhanceable
Lis-1	fbgn0015754	grk	fbgn0001137	enhanceable
Ras85D|sev	fbgn0003205|fbgn0003366	RpII140	fbgn0262955	suppressible
H	fbgn0001169	HDAC1	fbgn0015805	enhanceable
klg	fbgn0017590	repo	fbgn0011701	suppressible
w	fbgn0003996	su(Hw)	fbgn0003567	suppressible
tsr	fbgn0011726	capt	fbgn0261458	suppressible
N	fbgn0004647	bun	fbgn0259176	suppressible
InR	fbgn0283499	Lnk	fbgn0028717	suppressible
Ubx	fbgn0003944	tkv	fbgn0003716	suppressible
tor	fbgn0003733	Su(tor)2-191	fbgn0014047	suppressible
N	fbgn0004647	CG42709	fbgn0261674	enhanceable
Abl	fbgn0000017	Abi	fbgn0020510	suppressible
boss	fbgn0000206	RasGAP1	fbgn0004390	suppressible
dlg1|Ras85D	fbgn0001624|fbgn0003205	yki	fbgn0034970	enhanceable
Mmp2	fbgn0033438	Sema1a	fbgn0011259	suppressible
Pdk1	fbgn0020386	PRAS40	fbgn0267824	suppressible
Zif	fbgn0037446	aPKC	fbgn0261854	suppressible
Vang	fbgn0015838	Rac1	fbgn0010333	suppressible
sev	fbgn0003366	Rap1	fbgn0004636	suppressible
Atg8a	fbgn0052672	Dsor1	fbgn0010269	suppressible
csw	fbgn0000382	sty	fbgn0014388	suppressible
neur	fbgn0002932	HERC2	fbgn0031107	enhanceable
kibra	fbgn0262127	crb	fbgn0259685	enhanceable
grim	fbgn0015946	Usp15-31	fbgn0050421	suppressible
Ras85D	fbgn0003205	S6kII	fbgn0262866	suppressible
ro	fbgn0003267	ptc	fbgn0003892	suppressible
Dys	fbgn0260003	capt	fbgn0261458	enhanceable
Mps1	fbgn0000063	mad2	fbgn0035640	suppressible
siz	fbgn0026179	fra	fbgn0011592	enhanceable
hid	fbgn0003997	Ack	fbgn0028484	enhanceable
Ras85D|sev	fbgn0003205|fbgn0003366	brm	fbgn0000212	suppressible
Su(var)205	fbgn0003607	egg	fbgn0086908	suppressible
nej	fbgn0261617	lncRNA:Hsr?	fbgn0001234	suppressible
H	fbgn0001169	Dad	fbgn0020493	enhanceable
nito	fbgn0027548	spen	fbgn0016977	enhanceable
rpr	fbgn0011706	Psn	fbgn0284421	enhanceable
sl	fbgn0003416	Pi3K92E	fbgn0015279	suppressible
mts	fbgn0004177	wrd	fbgn0042693	enhanceable
Dref	fbgn0015664	J29	fbgn0266194	suppressible
aop	fbgn0000097	Sos	fbgn0001965	suppressible
sca	fbgn0003326	sca::Hsap\FGB	fbgn0025733	suppressible
y	fbgn0004034	mod(mdg4)	fbgn0002781	enhanceable
dom	fbgn0020306	Atg5	fbgn0029943	enhanceable
dac	fbgn0005677	ph-p	fbgn0004861	enhanceable
ro	fbgn0003267	Dfd::ro	fbgn0020180	suppressible
sina	fbgn0003410	lilli	fbgn0041111	suppressible
Pi3K92E	fbgn0015279	Chro	fbgn0044324	suppressible
Rab11	fbgn0015790	rho	fbgn0004635	suppressible
y	fbgn0004034	mod(mdg4)	fbgn0002781	enhanceable
ph-d	fbgn0004860	Hsc70-4	fbgn0266599	enhanceable
prel	fbgn0033413	bsk	fbgn0000229	enhanceable
Tollo	fbgn0029114	Rel	fbgn0014018	enhanceable
hng1	fbgn0034599	Coop	fbgn0263240	enhanceable
rpr	fbgn0011706	Den1	fbgn0033716	suppressible
trio	fbgn0024277	kst	fbgn0004167	enhanceable
y	fbgn0004034	e(y)1	fbgn0000617	enhanceable
elav	fbgn0260400	Rbp9	fbgn0010263	suppressible
Raf	fbgn0003079	pnt	fbgn0003118	enhanceable
Iswi	fbgn0011604	wun	fbgn0016078	suppressible
shg	fbgn0003391	?-Cat::shg	fbgn0266997	suppressible
Hipk	fbgn0035142	Dl	fbgn0000463	enhanceable
pbl	fbgn0003041	Men-b	fbgn0029155	suppressible
Akt1	fbgn0010379	rictor	fbgn0031006	suppressible
Ras85D	fbgn0003205	Prp19	fbgn0261119	suppressible
N	fbgn0004647	rumi	fbgn0086253	suppressible
frac	fbgn0035798	sax	fbgn0003317	suppressible
drl	fbgn0015380	Wnt5	fbgn0010194	suppressible
Ras85D	fbgn0003205	l(2)gl	fbgn0002121	enhanceable
mir-124	fbgn0262398	Dcr-1	fbgn0039016	suppressible
sli	fbgn0264089	kuz	fbgn0259984	enhanceable
rictor	fbgn0031006	CHORD	fbgn0029503	suppressible
Ras85D	fbgn0003205	dlg1	fbgn0001624	enhanceable
Pc	fbgn0003042	HDAC1	fbgn0015805	suppressible
smo	fbgn0003444	E(smoDN)918	fbgn0083258	enhanceable
aos	fbgn0004569	cln	fbgn0015922	suppressible
kay	fbgn0001297	puc	fbgn0243512	suppressible
Kr	fbgn0001325	l(3)05967	fbgn0010881	suppressible
w	fbgn0003996	ph-p	fbgn0004861	suppressible
pnr	fbgn0003117	Bx	fbgn0265598	suppressible
CycE	fbgn0010382	S(CycE<up>JP</up>)2.7	fbgn0082631	suppressible
Pink1	fbgn0029891	ND-42	fbgn0019957	suppressible
N	fbgn0004647	Dl	fbgn0000463	suppressible
rho	fbgn0004635	S	fbgn0003310	suppressible
Nsf2	fbgn0266464	Rbf	fbgn0015799	suppressible
Jra|kay	fbgn0001291|fbgn0001297	sgg	fbgn0003371	suppressible
spen	fbgn0016977	tsh	fbgn0003866	suppressible
ato	fbgn0010433	da	fbgn0267821	enhanceable
Stat92E	fbgn0016917	Diap1	fbgn0260635	suppressible
Raf|scrib	fbgn0003079|fbgn0263289	hep	fbgn0010303	suppressible
spn-B	fbgn0003480	mei-W68	fbgn0002716	suppressible
Raf::tor	fbgn0013724	Src42A	fbgn0264959	enhanceable
Pcl	fbgn0003044	gpp	fbgn0264495	enhanceable
NiPp1	fbgn0026402	Pp1-87B	fbgn0004103	suppressible
hid	fbgn0003997	Diap1	fbgn0260635	enhanceable
lncRNA:acal	fbgn0283426	raw	fbgn0003209	enhanceable
SCCRO4	fbgn0036967	SCCRO	fbgn0036510	suppressible
LanA	fbgn0002526	scb|sli	fbgn0286785|fbgn0264089	enhanceable
zip	fbgn0265434	fz	fbgn0001085	enhanceable
Ubx	fbgn0003944	E(bx)	fbgn0000541	enhanceable
Ipk2	fbgn0031267	hop	fbgn0004864	suppressible
fs(1)h	fbgn0004656	Rac1	fbgn0010333	suppressible
tow	fbgn0035719	Rok	fbgn0026181	suppressible
Ras85D	fbgn0003205	lilli	fbgn0041111	suppressible
ct	fbgn0004198	Scm	fbgn0003334	suppressible
Pak	fbgn0267698	shg	fbgn0003391	suppressible
p	fbgn0086679	g	fbgn0001087	enhanceable
Pp2B-14D	fbgn0011826	sl	fbgn0003416	suppressible
BicC	fbgn0000182	Myc	fbgn0262656	suppressible
park	fbgn0041100	GstS1	fbgn0010226	enhanceable
pbl	fbgn0003041	Pitslre	fbgn0016696	suppressible
Rac1	fbgn0010333	wit	fbgn0024179	suppressible
hid	fbgn0003997	CG3251	fbgn0031622	suppressible
tum	fbgn0086356	pav	fbgn0011692	enhanceable
Itpr	fbgn0010051	SERCA	fbgn0263006	suppressible
grim	fbgn0015946	mir-278	fbgn0262403	suppressible
Cln3	fbgn0036756	Cat	fbgn0000261	suppressible
Ppt1	fbgn0030057	Cln3	fbgn0036756	enhanceable
Iswi	fbgn0011604	Acf	fbgn0027620	enhanceable
Mmp2	fbgn0033438	wg	fbgn0284084	suppressible
hiw	fbgn0030600	Fmr1	fbgn0028734	suppressible
dsh	fbgn0000499	Jra	fbgn0001291	suppressible
sog	fbgn0003463	Col4a1	fbgn0000299	suppressible
egr	fbgn0033483	bsk	fbgn0000229	suppressible
Bx	fbgn0265598	CG11334	fbgn0039849	suppressible
aop	fbgn0000097	pnt	fbgn0003118	suppressible
Raf	fbgn0003079	wg	fbgn0284084	suppressible
sina	fbgn0003410	E(sina)6	fbgn0013941	enhanceable
sick	fbgn0263873	ssh	fbgn0029157	suppressible
Dcr-2|Rabex-5	fbgn0034246|fbgn0262937	Ras85D	fbgn0003205	suppressible
L	fbgn0267825	ras	fbgn0003204	suppressible
Ret	fbgn0011829	l(3)06906	fbgn0010904	suppressible
Med	fbgn0011655	anchor	fbgn0036741	suppressible
p38b	fbgn0024846	Mef2	fbgn0011656	suppressible
w	fbgn0003996	loqs	fbgn0032515	suppressible
smo	fbgn0003444	E(smoDN)1422	fbgn0083309	enhanceable
Dcr-2|Arf51F	fbgn0034246|fbgn0013750	ArfGAP3	fbgn0037182	enhanceable
rg	fbgn0266098	S	fbgn0003310	suppressible
S6k	fbgn0283472	bun	fbgn0259176	enhanceable
gcm	fbgn0014179	esg	fbgn0001981	suppressible
Pez	fbgn0031799	yki	fbgn0034970	suppressible
Abd-B	fbgn0000015	CycG	fbgn0039858	enhanceable
mys	fbgn0004657	blo	fbgn0000198	enhanceable
flw	fbgn0000711	bsk	fbgn0000229	suppressible
hep	fbgn0010303	puc	fbgn0243512	suppressible
Myc	fbgn0262656	LTV1	fbgn0027525	suppressible
gcm	fbgn0014179	E2f2	fbgn0024371	suppressible
LIMK1	fbgn0283712	RhoGEF2	fbgn0023172	suppressible
H	fbgn0001169	CG14478|Tes|insb|qkr54B	fbgn0028953|fbgn0034223|fbgn0034224|fbgn0022987	enhanceable
Vang	fbgn0015838	DAAM	fbgn0025641	suppressible
sog|tsg	fbgn0003463|fbgn0003865	tok	fbgn0004885	suppressible
y	fbgn0004034	su(Hw)	fbgn0003567	suppressible
bcd	fbgn0000166	Mabi	fbgn0032493	suppressible
w	fbgn0003996	drosha	fbgn0026722	suppressible
N	fbgn0004647	pan	fbgn0085432	suppressible
Ras85D	fbgn0003205	Tace	fbgn0039734	suppressible
E(z)	fbgn0000629	Nsf2	fbgn0266464	suppressible
LIMK1	fbgn0283712	Rho1	fbgn0014020	enhanceable
Pink1	fbgn0029891	clu	fbgn0034087	suppressible
Dref	fbgn0015664	sw	fbgn0003654	suppressible
Ask1	fbgn0014006	p38a	fbgn0015765	suppressible
Cln3	fbgn0036756	Keap1	fbgn0038475	suppressible
dl	fbgn0260632	Dif	fbgn0011274	suppressible
fra	fbgn0011592	robo1	fbgn0005631	suppressible
tub	fbgn0003882	tor::tub	fbgn0015557	suppressible
sick	fbgn0263873	tsr	fbgn0011726	suppressible
Lrrk	fbgn0038816	Tor	fbgn0021796	suppressible
upd1	fbgn0004956	dpp	fbgn0000490	suppressible
chem	fbgn0002175	yrt	fbgn0004049	enhanceable
sqh	fbgn0003514	ovo	fbgn0003028	suppressible
L	fbgn0267825	emc	fbgn0000575	enhanceable
Nf1	fbgn0015269	dnc	fbgn0000479	suppressible
Rac2|Rac1	fbgn0014011|fbgn0010333	stumps	fbgn0020299	enhanceable
hid	fbgn0003997	Diap1	fbgn0260635	enhanceable
fra	fbgn0011592	Abl	fbgn0000017	enhanceable
Tl	fbgn0262473	Akt1	fbgn0010379	suppressible
sina	fbgn0003410	Hsp83	fbgn0001233	enhanceable
Rala	fbgn0015286	bsk	fbgn0000229	suppressible
pan	fbgn0085432	arm	fbgn0000117	suppressible
Tsc1|gig	fbgn0026317|fbgn0005198	Pten	fbgn0026379	enhanceable
Rca1	fbgn0017551	CycA	fbgn0000404	suppressible
Nf1	fbgn0015269	Ras85D	fbgn0003205	suppressible
slpr	fbgn0030018	slpr::Tak1	fbgn0273453	suppressible
lace	fbgn0002524	Dsor1	fbgn0010269	suppressible
pnr	fbgn0003117	ps	fbgn0261552	enhanceable
Hipk	fbgn0035142	bsk	fbgn0000229	enhanceable
btl	fbgn0285896	Rac1	fbgn0010333	suppressible
Nf1	fbgn0015269	jeb	fbgn0086677	suppressible
Dref	fbgn0015664	l(2)10685	fbgn0283525	suppressible
wg	fbgn0284084	vg	fbgn0003975	suppressible
E2f1	fbgn0011766	Asx	fbgn0261823	suppressible
unc-5	fbgn0034013	Nrg|beat-Ia	fbgn0264975|fbgn0013433	enhanceable
COX5A	fbgn0019624	ago	fbgn0041171	suppressible
grim	fbgn0015946	PSR	fbgn0038948	enhanceable
fzr	fbgn0262699	Snoo	fbgn0085450	suppressible
TBPH	fbgn0025790	CG30122	fbgn0050122	enhanceable
hid	fbgn0003997	ptc	fbgn0003892	suppressible
Psn	fbgn0284421	Ubqn	fbgn0031057	suppressible
Smox	fbgn0025800	CG3649	fbgn0034785	suppressible
Pten|Ras85D|p53|Apc	fbgn0026379|fbgn0003205|fbgn0039044|fbgn0015589	Tsc1	fbgn0026317	enhanceable
spn-F	fbgn0086362	IKK?	fbgn0086657	suppressible
fog	fbgn0000719	Marf	fbgn0029870	enhanceable
Mical	fbgn0053208	SelR	fbgn0267376	enhanceable
Patj	fbgn0067864	sqh	fbgn0003514	suppressible
mir-9a	fbgn0262373	sens	fbgn0002573	suppressible
pnr	fbgn0003117	pum	fbgn0003165	enhanceable
dpp|lolal	fbgn0000490|fbgn0022238	Trl	fbgn0013263	suppressible
Ras85D	fbgn0003205	uri	fbgn0035025	suppressible
hid	fbgn0003997	Hsp60D	fbgn0032525	enhanceable
smo	fbgn0003444	E(smoDN)474	fbgn0083265	enhanceable
Rho1	fbgn0014020	?-Cat	fbgn0010215	enhanceable
Antp	fbgn0260642	mor	fbgn0002783	suppressible
Invadolysin	fbgn0086359	blw	fbgn0011211	enhanceable
Dl	fbgn0000463	jp	fbgn0032129	suppressible
pelo	fbgn0011207	HBS1	fbgn0042712	enhanceable
shtd	fbgn0004391	CycH	fbgn0022936	enhanceable
rl	fbgn0003256	dj-1?	fbgn0039802	enhanceable
Dl|lola|psq	fbgn0000463|fbgn0283521|fbgn0263102	ct	fbgn0004198	enhanceable
Abl::Hsap\ABL1::Hsap\BCR	fbgn0026609	fra	fbgn0011592	enhanceable
Pvr	fbgn0032006	EP1340	fbgn0062692	suppressible
Rbf|gig	fbgn0015799|fbgn0005198	S6k	fbgn0283472	suppressible
MYPT-75D	fbgn0036801	sqh	fbgn0003514	suppressible
Apc	fbgn0015589	Src42A	fbgn0264959	suppressible
ed	fbgn0000547	Nrg	fbgn0264975	enhanceable
Rac1	fbgn0010333	C3G	fbgn0259228	enhanceable
Ras85D	fbgn0003205	Taf4	fbgn0010280	suppressible
Ubqn	fbgn0031057	TBPH	fbgn0025790	suppressible
fz2	fbgn0016797	Hipk	fbgn0035142	suppressible
brat	fbgn0010300	Pepck1	fbgn0003067	suppressible
w	fbgn0003996	bw	fbgn0000241	suppressible
Pink1	fbgn0029891	park	fbgn0041100	suppressible
for	fbgn0000721	lola	fbgn0283521	suppressible
Antp	fbgn0260642	tsh	fbgn0003866	enhanceable
E(z)	fbgn0000629	sxc	fbgn0261403	suppressible
Raf	fbgn0003079	PTP-ER	fbgn0016641	suppressible
Nsf2	fbgn0266464	CG14628	fbgn0040365	suppressible
arm	fbgn0000117	Egfr	fbgn0003731	enhanceable
mnb	fbgn0259168	Synj	fbgn0034691	suppressible
nej	fbgn0261617	lncRNA:Hsr?	fbgn0001234	enhanceable
jnj	fbgn0266282	mei-W68	fbgn0002716	suppressible
brm|trx	fbgn0000212|fbgn0003862	dom	fbgn0020306	suppressible
Rac1	fbgn0010333	poe	fbgn0011230	suppressible
Dis3	fbgn0039183	grk	fbgn0001137	suppressible
N	fbgn0004647	pnt	fbgn0003118	enhanceable
tna	fbgn0026160	skd	fbgn0003415	enhanceable
RhoGAP92B	fbgn0038747	WASp	fbgn0024273	suppressible
Pink1	fbgn0029891	Thor	fbgn0261560	suppressible
twi	fbgn0003900	wg	fbgn0284084	enhanceable
wg	fbgn0284084	dsh	fbgn0000499	enhanceable
L	fbgn0267825	EP950	fbgn0062637	enhanceable
dup	fbgn0000996	BubR1	fbgn0263855	suppressible
H	fbgn0001169	Sirt1	fbgn0024291	enhanceable
Ubx	fbgn0003944	z	fbgn0004050	enhanceable
egr	fbgn0033483	Tak1	fbgn0026323	suppressible
Ras85D|scrib	fbgn0003205|fbgn0263289	sds22	fbgn0028992	suppressible
bw	fbgn0000241	Acf	fbgn0027620	suppressible
rpr	fbgn0011706	Dark|Usp15-31	fbgn0263864|fbgn0050421	suppressible
