Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
l(3)mbt	fbgn0002441	nos	fbgn0002962	suppressible
Bx	fbgn0265598	Spn88Eb	fbgn0038299	enhanceable
lt	fbgn0002566	Su(var)2-1|Su(var)208	fbgn0004849|fbgn0004557	enhanceable
sax	fbgn0003317	Med	fbgn0011655	suppressible
w	fbgn0003996	Dcr-1	fbgn0039016	suppressible
sc	fbgn0004170	ac	fbgn0000022	enhanceable
?Tub84B	fbgn0003884	pins	fbgn0040080	enhanceable
N	fbgn0004647	Kap-?3	fbgn0027338	enhanceable
ash1	fbgn0005386	trx	fbgn0003862	enhanceable
LIMK1	fbgn0283712	pbl	fbgn0003041	suppressible
RpII215	fbgn0003277	RpII140	fbgn0262955	suppressible
hrg	fbgn0015949	H	fbgn0001169	suppressible
H	fbgn0001169	Su(H)	fbgn0004837	enhanceable
dpp	fbgn0000490	tkv	fbgn0003716	suppressible
tna	fbgn0026160	lwr	fbgn0010602	enhanceable
bw	fbgn0000241	Mod(Prat:bw)3-4	fbgn0067871	suppressible
bsk	fbgn0000229	Fas2	fbgn0000635	suppressible
sc	fbgn0004170	E(spl)m?-HLH	fbgn0002734	suppressible
dl	fbgn0260632	Dif	fbgn0011274	suppressible
tefu	fbgn0045035	p53	fbgn0039044	suppressible
r	fbgn0003189	su(Hw)	fbgn0003567	suppressible
fra	fbgn0011592	robo1	fbgn0005631	suppressible
Pink1	fbgn0029891	Tom40	fbgn0016041	enhanceable
ftz	fbgn0001077	E(ftz)1427	fbgn0082689	enhanceable
wupA	fbgn0283471	Mhc	fbgn0264695	suppressible
Myc	fbgn0262656	Mnt	fbgn0023215	suppressible
Tsc1|gig	fbgn0026317|fbgn0005198	Hr3	fbgn0000448	suppressible
rpr	fbgn0011706	Diap1	fbgn0260635	suppressible
btl::Egfr	fbgn0022739	sty	fbgn0014388	suppressible
smo	fbgn0003444	gish	fbgn0250823	suppressible
lqf	fbgn0028582	spen	fbgn0016977	enhanceable
spin	fbgn0086676	sax	fbgn0003317	suppressible
PDZ-GEF	fbgn0265778	Dsor1	fbgn0010269	suppressible
Rbf	fbgn0015799	bsk	fbgn0000229	suppressible
gb	fbgn0039487	mGluR	fbgn0019985	suppressible
caup	fbgn0015919	ago	fbgn0041171	enhanceable
hid	fbgn0003997	Cdk7	fbgn0263237	suppressible
p53	fbgn0039044	Set	fbgn0014879	suppressible
Slik	fbgn0035001	Raf	fbgn0003079	suppressible
ds	fbgn0284247	fj	fbgn0000658	enhanceable
Sec71	fbgn0028538	Arf79F	fbgn0010348	suppressible
foxo	fbgn0038197	Lrrk	fbgn0038816	enhanceable
Fmr1	fbgn0028734	l(2)gl	fbgn0002121	suppressible
hh	fbgn0004644	brm	fbgn0000212	suppressible
Sdc	fbgn0010415	dlp	fbgn0041604	enhanceable
aos	fbgn0004569	S	fbgn0003310	enhanceable
N	fbgn0004647	kuz	fbgn0259984	suppressible
flw	fbgn0000711	btl::Egfr	fbgn0022739	enhanceable
Pvr	fbgn0032006	NFAT	fbgn0030505	suppressible
ex	fbgn0004583	mir-278	fbgn0262403	suppressible
Pkn	fbgn0020621	sqh	fbgn0003514	enhanceable
Sin3A	fbgn0022764	htt	fbgn0027655	suppressible
sina	fbgn0003410	Su(Tpl)	fbgn0014037	suppressible
pbl	fbgn0003041	Rho1	fbgn0014020	enhanceable
w|z	fbgn0003996|fbgn0004050	e(y)3	fbgn0087008	enhanceable
pins	fbgn0040080	Sgt1	fbgn0265101	enhanceable
sli	fbgn0264089	scb	fbgn0286785	enhanceable
rux	fbgn0003302	Ras85D	fbgn0003205	enhanceable
hh	fbgn0004644	mir-14	fbgn0262447	enhanceable
Egfr	fbgn0003731	tws	fbgn0004889	enhanceable
Psn	fbgn0284421	H	fbgn0001169	suppressible
csw	fbgn0000382	Sos	fbgn0001965	suppressible
ash1|trx	fbgn0005386|fbgn0003862	pho	fbgn0002521	suppressible
hep	fbgn0010303	bsk	fbgn0000229	suppressible
w	fbgn0003996	Mow	fbgn0017571	suppressible
Pc	fbgn0003042	lolal	fbgn0022238	suppressible
Pi3K92E	fbgn0015279	ebi	fbgn0263933	enhanceable
N	fbgn0004647	sgg	fbgn0003371	suppressible
Ccdc85	fbgn0031488	ASPP	fbgn0034606	enhanceable
brm	fbgn0000212	Marcal1	fbgn0031655	enhanceable
dpp|lolal	fbgn0000490|fbgn0022238	Med	fbgn0011655	suppressible
sev	fbgn0003366	Dsor1	fbgn0010269	suppressible
Cdc16	fbgn0025781	Nek2	fbgn0029970	enhanceable
Tm1	fbgn0003721	vas	fbgn0283442	enhanceable
mira	fbgn0021776	stau	fbgn0003520	suppressible
Pc	fbgn0003042	Hsc70-4	fbgn0266599	enhanceable
egr	fbgn0033483	Tak1	fbgn0026323	suppressible
sas	fbgn0002306	Ptp10D	fbgn0004370	enhanceable
sc	fbgn0004170	esg	fbgn0001981	suppressible
sd	fbgn0003345	Dcr-2	fbgn0034246	suppressible
enc	fbgn0004875	otu	fbgn0003023	suppressible
Streak	fbgn0003414	e	fbgn0000527	enhanceable
Dl	fbgn0000463	aos	fbgn0004569	enhanceable
hh	fbgn0004644	mam	fbgn0002643	suppressible
Mmp2	fbgn0033438	frac	fbgn0035798	suppressible
ato	fbgn0010433	hh	fbgn0004644	enhanceable
caup	fbgn0015919	CycE	fbgn0010382	suppressible
?Tub85D	fbgn0003889	mrn	fbgn0261109	enhanceable
G?s	fbgn0001123	Cul3	fbgn0261268	suppressible
B52	fbgn0004587	Top1	fbgn0004924	suppressible
dgo	fbgn0086898	fz	fbgn0001085	suppressible
fz	fbgn0001085	fz::fz2	fbgn0042640	suppressible
y	fbgn0004034	su(Hw)	fbgn0003567	suppressible
hid	fbgn0003997	sav	fbgn0053193	suppressible
ase	fbgn0000137	esg	fbgn0001981	suppressible
CalpB	fbgn0025866	mys	fbgn0004657	enhanceable
RacGAP84C	fbgn0045843	RhoGEF64C	fbgn0035574	enhanceable
S	fbgn0003310	rho	fbgn0004635	enhanceable
MTF-1	fbgn0040305	Ctr1B	fbgn0062412	suppressible
pnr	fbgn0003117	EP1501	fbgn0062686	enhanceable
ball	fbgn0027889	baf	fbgn0031977	suppressible
ct	fbgn0004198	e(y)2	fbgn0000618	suppressible
nos	fbgn0002962	Tao	fbgn0031030	enhanceable
Pp2B-14D|CanB	fbgn0011826|fbgn0010014	Egfr	fbgn0003731	enhanceable
vn	fbgn0003984	emc	fbgn0000575	enhanceable
sens	fbgn0002573	Dl	fbgn0000463	enhanceable
shtd	fbgn0004391	mr	fbgn0002791	suppressible
Seipin	fbgn0040336	mino	fbgn0027579	enhanceable
Psn	fbgn0284421	so	fbgn0003460	enhanceable
Pink1	fbgn0029891	DCP1	fbgn0034921	suppressible
dnc	fbgn0000479	Gprk2	fbgn0261988	suppressible
Tak1	fbgn0026323	S6k	fbgn0283472	enhanceable
l(2)gl	fbgn0002121	Myc	fbgn0262656	suppressible
Rok	fbgn0026181	jub	fbgn0030530	suppressible
hep	fbgn0010303	bsk	fbgn0000229	suppressible
pnr	fbgn0003117	Nab2	fbgn0028471	enhanceable
rho	fbgn0004635	vn	fbgn0003984	enhanceable
jus	fbgn0039647	para	fbgn0285944	suppressible
Egfr::tor	fbgn0014847	sens	fbgn0002573	suppressible
